author_id,author,gender,COUNT of id
280,Eduardo Sánchez,M,2
281,Tomás Abraham,M,1
282,Alejandro Cattaruzza,M,1
283,Julio Maier,M,15
284,Carlos Pérez Llana,M,10
285,Alberto Amato,M,26
286,Claudio Cerviño,M,2
287,Pablo Montagna,M,57
288,Emilio Apud,M,3
289,Esteban Lifschitz,M,3
290,Fernando Rodríguez,M,5
291,Sonia Santoro,F,7
292,Angel Cappa,M,5
293,Ezequiel Fernández Moores,M,2
294,Marta Dillon,F,23
295,Sergio Zabalza,M,9
296,Juan J. Llach,M,2
297,Claudio Campagna,M,11
298,Roberto García Moritán,M,5
299,Claudio Morresi,M,9
300,Javier Aguirre,M,1
301,Federico Nacif,M,1
302,David Cantero Pérez,M,1
303,Fernando “Pino” Solanas,M,1
304,Natalio Botana,M,16
305,Luis Cortina,M,6
306,Carlos Noriega,M,1
307,Alejandro López Accotto,M,5
308,María Eugenia Estenssoro,F,11
309,Lucas Prieto Schorr,M,6
310,Inés Capdevila,F,24
311,Carolina Arenes,F,8
313,Luis Secco,M,7
315,Guillermo Tomoyose,M,2
316,Sabrina Cuculiansky,F,2
317,Claudio Zeiger,M,7
318,Álvaro García Linera,M,1
319,Esteban Guida,M,3
320,Adriana Puiggrós,F,4
321,Carlos Díaz,M,1
322,Roberto Saba,M,6
323,Yang Wanming,M,1
324,Luis Alberto Romero,M,4
325,Ariel Torres,M,27
326,Ricardo Iacub,M,8
327,José Bellas,M,1
328,Martín Hilal,M,1
329,Ernesto Sanz,M,1
330,Federico Conditi,M,1
331,Oscar Laborde,M,2
332,Diego Cabot,M,8
333,Miguel Espejo,M,6
334,César Mayoral,M,3
335,Adelfa Jozami,F,1
336,Raquel Garzón,F,18
337,Silvia Naishtat,F,12
338,Gustavo Bazzan,M,1
339,Javier Lindenboim,M,9
340,Melina Masnatta,F,11
341,Fernando D´Addario,M,12
342,Damián Pierbattisti,M,1
343,Cristian Mira,M,19
344,Nicolás Gallo,M,3
345,Joaquín Roy,M,3
346,Juan Forn,M,8
347,Andrés Asiain,M,5
348,Ariel Scher,M,2
349,Martín Vauthier y Santiago Mosquera,M,1
350,Carlos Bianco,M,3
351,Pablo Vaca,M,15
352,Rubén Torres,M,3
353,Alberto Taquini (h),M,2
354,Maritchu Seitún,F,18
355,Miguel Ángel Fernández Pastor,M,2
356,Fernando R. Marengo,M,5
357,Marcelo D'Alessio,M,4
358,Héctor Crespo Figueras,M,1
359,Manuel Barrientos,M,4
360,Luciano Román,M,3
361,Martín Kanenguiser,M,2
362,Alejandra Perinetti,F,3
363,Jorge Vasconcelos,M,1
364,Jorge Álvarez,M,2
365,Félix V. Lonigro,M,5
366,Hugo Muleiro,M,4
367,Walter Isaía,M,3
368,Joaquín Hidalgo,M,1
369,Pablo Cohen,M,1
370,Víctor Pombinho Soares,M,3
371,Delia Ferreira Rubio,F,1
372,Daniel Martínez,M,3
373,Carlos Rozanski,M,8
374,Sergio Rodríguez,M,1
375,Oscar Oszlak,M,1
376,Adriana Martínez Bedini,F,1
377,Daniel Montamat,M,7
378,Edgardo Néstor De Vincenzi,M,2
379,Pedro Golfarb,M,1
380,Nora Merlin,F,5
381,Luciano Lutereau *,M,1
382,Fernanda Iglesias,F,1
383,Aldo Pignanelli,M,2
384,Patricia Pérez,F,4
385,Rodolfo Yanzón,M,3
386,Yael Bendel,F,3
387,Cristian Carrillo,M,2
388,Julio Raffo,M,1
389,Matilde Sánchez,F,2
391,Alejandro Vanoli,M,3
392,Víctor Manuel Fernández,M,1
394,Sergio Rubin,M,1
395,Julio Montero,M,5
396,Horacio Cecchi,M,24
397,Carlos Raimundi,M,2
398,Nilda Garré,F,2
399,Rodolfo H. Gil,M,5
400,Eugenio A. Marchiori,M,2
401,Mariana Enriquez,F,4
402,Eduardo De la Serna,M,1
403,Daniel Zovatto,M,5
404,Juan Pablo Sioffi,M,1
405,Carlos A. Valle,M,7
406,Cecilia Beatriz Díaz,F,2
407,Eduardo Levy Yeyati,M,2
408,Mariano Recalde,M,1
409,Ariel Cohen Sabban,M,1
410,Diego Rubinzal,M,3
411,Diego Vernazza,M,1
412,Monika Arredondo,F,3
413,Daniel Filmus,M,4
414,Marina Yasky,F,1
415,Martín Burgos,M,1
416,Sonia Tessa,F,8
417,Luis Kon,M,1
418,Micaela Urdinez,F,3
419,Federico Finchelstein,M,12
420,Alicia Pierini,F,1
421,Claudia Bracchi,F,2
422,Mariano De Vedia,M,2
423,Gerardo Arenas,M,1
424,Manu Ginóbili,M,1
425,Eduardo López,M,2
426,Andrés J. Kreiner y Roberto C. Salvarezza,M,1
428,Eugenio Raul Zaffaroni,M,4
429,José Pablo Feinmann,M,9
430,Emilce Cuda,F,3
431,Juan Manuel karg,M,5
432,Mariana Varela,F,5
433,Daniel Herrendorf,M,2
434,Ezequiel Kostenwein,M,1
435,Andrés Oppenheimer,M,33
436,Enrique Arias Gibert,M,3
437,Luis Lazzaro,M,4
438,Alejandro Linares,M,1
439,Verónica Azpiroz Cleñan,F,2
440,Germán Moldes,M,2
441,José Ignacio de Mendiguren,M,1
442,Sergio Bufano,M,1
443,Oscar Ranzani,M,4
444,Natalia Blanc,F,8
445,Alejandro Grimson,M,1
446,Gonzalo Navarro Sanz,M,1
447,Julián Schvindlerman,M,2
448,Alieto A. Guadagni,M,1
449,José Claudio Escribano,M,9
450,Nora Bär,F,42
451,Florencia Saintout,F,2
452,Emilio Del Guercio,M,1
453,Dolores Curia,F,2
454,Alfredo Sainz,M,1
455,María de los Angeles Ledesma,F,1
456,Ian Drummond y Rogelia S. Toer,X,1
457,Marisa Avigliano,F,2
458,Marcos Las Heras,M,1
459,Juan Battaleme,M,4
460,Pablo Lada,M,1
461,Diego Hurtado y Daniel Filmus (*,M,1
462,Raúl Zaffaroni,M,1
464,Sergio Kiernan,M,9
465,Pablo Ramos,M,1
466,Hugo Quiroga,M,3
467,Roberto Costa,M,3
468,Edison Lanza,M,1
469,Paula Canelo,F,1
470,Hugo Soriani,M,2
471,Daniel Filmus y Diego Hurtado,M,1
472,Santiago Giordano,M,2
473,Julio René Sotelo,M,2
474,Ana Laura Zavala Guillén,F,2
475,Manuel Otero,M,3
476,Roberto Samar,M,8
477,Fernando Latrille,M,1
478,Boaventura de Sousa Santos,M,11
479,la Red de Intelectuales y Artistas en defensa de la Humanidad,X,1
480,Esteban Bullrich,M,2
481,Eduardo S. Barcesat,M,4
482,Ernesto Tiffenberg,M,10
483,Alfredo Serrano Mancilla,M,9
484,Estela Carlotto,F,1
485,Marcelo Miniati,M,1
486,Leila Vecslir,F,1
487,Federico Caeiro,M,2
488,Diana Fernández Irusta,F,19
489,Emanuel Respighi,M,3
490,Mario Giannoni,M,3
491,Flor Monfort,F,3
492,Julio María Sanguinetti,M,6
493,Pedro Rey,M,1
494,Miguel Espeche,M,4
495,Pedro B. Rey,M,1
496,John Carlin,M,38
497,Quim Monzó,M,4
499,Sergio Santesteban,M,2
500,Andrea Conde,F,1
501,Inés Aguerrondo,F,1
