id,title,site,url,added,last_seen,author_id,id,author,gender
103,"Elogio de la política",pagina12,https://www.pagina12.com.ar/80279-elogio-de-la-politica,2017-12-04T16:28:36-03:00,2017-12-04T16:28:36-03:00,82,82,"Mempo Giardinelli",M
104,007,pagina12,https://www.pagina12.com.ar/80247-007,2017-12-04T16:28:36-03:00,2017-12-04T16:28:36-03:00,83,83,"Eduardo Aliverti",M
105,"Cristóbal perdió la última apuesta",clarin,/opinion/ultima-apuesta-cristobal-lopez_0_H1spmd7WG.html,2017-12-05T18:06:18-03:00,2017-12-05T18:06:18-03:00,1,1,"Ricardo Roa",M
106,"¿Hay con qué aprovechar una gran oportunidad?",clarin,/opinion/oportunidad-historica-aprovecharla_0_SkWyCrmWG.html,2017-12-05T18:06:18-03:00,2017-12-05T18:06:18-03:00,71,71,"Alcadio Oña",M
107,"Democratizar nuestros corazones",clarin,/opinion/democratizar-corazones_0_HJ4cMig-f.html,2017-12-05T18:06:18-03:00,2017-12-05T18:06:18-03:00,84,84,"Norma Morandini",F
108,"G-20 y deuda pública: cómo salvar al mercado ...",clarin,/opinion/20-deuda-publica-salvar-mercado-praxis-actual_0_BJAZHjl-z.html,2017-12-05T18:06:18-03:00,2017-12-05T18:06:18-03:00,85,85,"Manuel Gonzalo Casas",M
109,"La dificultad para obedecer la ley y no la voluntad del que manda",lanacion,/2088419-la-dificultad-de-la-sociedad-argentina-para-obedecer-la-ley-y-no-la-voluntad-del-que-manda,2017-12-05T18:06:32-03:00,2017-12-05T18:06:32-03:00,5,5,"Carlos Pagni",M
110,"Vandenbroele prendió el ventilador y complicó a Jorge Brito y a Gildo Insfrán",lanacion,/2088421-vandenbroele-prendio-el-ventilador-y-complico-a-un-par,2017-12-05T18:06:32-03:00,2017-12-05T18:06:32-03:00,86,86,"Hugo Alconada Mon",M
111,"El verdadero costo de tener WhatsApp gratis",lanacion,/2088470-el-verdadero-costo-de-tener-whatsapp-gratis,2017-12-05T18:06:32-03:00,2017-12-05T18:06:32-03:00,87,87,"Valentín Muro",M
112,"¿Quién definirá el futuro de Cristina Kirchner en el máximo tribunal penal?",lanacion,/2088630-quien-definira-el-futuro-de-cristina-kirchner-en-el-maximo-tribunal-penal,2017-12-05T18:06:32-03:00,2017-12-05T18:06:32-03:00,88,88,"Hernán Cappiello",M
